Year,New Gyms,Percent Growth,Total Gyms
2009,13,5.3,226
2010,14,5.5,240
2011,21,7.8,261
2012,23,7.7,284
2013,33,10.9,317
2014,33,9.9,350
2015,37,10.2,387
2016,27,6.9,414
2017,43,10,457
2018,50,11.87,507
